,slug,name,country,whiskybase_whiskies,whiskybase_votes,whiskybase_rating
0,8_doors,8 Doors Distillery,Scotland,2,4,86.67
1,abbeyhill,Abbeyhill Distillery,Scotland,0,0,0.0
2,aberargie,Aberargie Distillery,Scotland,1,0,0.0
3,aberfeldy,Aberfeldy,Scotland,489,8155,84.05
4,aberlour,Aberlour,Scotland,1274,28192,85.02
5,abhainn_dearg,Abhainn Dearg,Scotland,40,423,69.96
6,ailsa_bay,Ailsa Bay,Scotland,28,1287,81.72
7,aioi_unibio_co._ltd.,Aioi Unibio Co. Ltd.,Japan,5,42,75.66
8,akkeshi,Akkeshi Distillery,Japan,24,253,85.64
9,albyn,Albyn Distillery,Scotland,0,0,0.0
10,allt-a-bhainne,Allt-a-Bhainne,Scotland,464,3985,84.59
11,annandale,Annandale Distillery,Scotland,117,1115,84.81
12,arbikie,Arbikie,Scotland,9,35,81.66
13,ardbeg,Ardbeg,Scotland,2430,96509,88.05
14,ardenistile,Ardenistile,Scotland,0,0,0.0
15,ardgowan,Ardgowan Distillery,Scotland,1,1,81.0
16,ardlussa,Ardlussa Distillery,Scotland,0,0,0.0
17,ardmore,Ardmore,Scotland,1707,18486,85.36
18,ardnahoe,Ardnahoe Distillery,Scotland,0,0,0.0
19,ardnamurchan,Ardnamurchan,Scotland,120,3755,85.57
20,argyll,Argyll Distillery,Scotland,0,0,0.0
21,arran,Arran,Scotland,2277,42627,85.4
22,asaka,Asaka,Japan,18,21,85.78
23,auchentoshan,Auchentoshan,Scotland,1270,16535,84.05
24,auchnagie,Auchnagie,Scotland,2,11,84.44
25,auchroisk,Auchroisk,Scotland,733,6276,84.72
26,aultmore,Aultmore,Scotland,940,8671,85.19
27,badachro,Badachro Distillery,Scotland,1,1,76.0
28,balblair,Balblair,Scotland,664,11464,86.07
29,ballindalloch,Ballindalloch,Scotland,0,24,90.77
30,balmenach,Balmenach,Scotland,633,4795,85.18
31,balvenie,Balvenie,Scotland,3548,29326,86.42
32,banff,Banff,Scotland,173,3071,88.32
33,benachie,Benachie Distillery,Scotland,2,0,0.0
34,benmore,Benmore Distillery,Scotland,0,0,0.0
35,ben_nevis,Ben Nevis,Scotland,1752,38671,86.64
36,benriach,BenRiach,Scotland,1862,41353,86.01
37,benrinnes,Benrinnes,Scotland,1418,16850,85.58
38,benromach,Benromach,Scotland,559,15639,85.87
39,ben_wyvis,Ben Wyvis,Scotland,18,280,89.37
40,ben_wyvis_/_ferintosh,Ben Wyvis / Ferintosh,Scotland,2,2,92.0
41,bladnoch,Bladnoch,Scotland,954,9482,85.42
42,blair_athol,Blair Athol,Scotland,1134,14401,85.57
43,bowmore,Bowmore,Scotland,3679,83089,87.08
44,braeval,Braeval,Scotland,531,3950,85.29
45,broombrae,Broombrae Distillery,Scotland,0,0,0.0
46,brora,Brora,Scotland,278,10393,89.85
47,bruichladdich,Bruichladdich,Scotland,3871,101651,86.84
48,bunnahabhain,Bunnahabhain,Scotland,3675,71628,86.44
49,burnside,Burnside Distillery,Scotland,0,0,0.0
50,caledonian,Caledonian,Scotland,105,1032,87.35
51,caledonian,Caledonian,Scotland,105,1032,87.35
52,caledonian,Caledonian Distillery,Scotland,0,0,0.0
53,caledonian,Caledonian Distillery,Scotland,0,0,0.0
54,cambus,Cambus,Scotland,290,2728,86.47
55,cameronbridge,Cameronbridge,Scotland,368,3662,85.57
56,campbeltown,Campbeltown Distillery,Scotland,0,0,0.0
57,caol_ila,Caol Ila,Scotland,5834,77988,86.82
58,caperdonich,Caperdonich,Scotland,597,9268,87.93
59,cardhu,Cardhu,Scotland,209,6014,82.42
60,carsebridge,Carsebridge,Scotland,115,1204,87.83
61,chain_pier,Chain Pier,Scotland,2,9,85.84
62,chichibu,Chichibu,Japan,535,7059,88.62
63,chita,Chita,Japan,43,881,84.84
64,chugoku_jozo,Chugoku Jozo,Japan,18,512,80.52
65,clutha,Clutha Distillery,Scotland,0,0,0.0
66,clynelish,Clynelish,Scotland,2303,46126,86.98
67,coleburn,Coleburn,Scotland,105,1265,87.06
68,convalmore,Convalmore,Scotland,150,2282,87.06
69,corry_(broadford),Corry (Broadford),Scotland,0,0,0.0
70,crafty,Crafty Distillery,Scotland,0,0,0.0
71,cragganmore,Cragganmore,Scotland,748,9471,85.26
72,craigellachie,Craigellachie,Scotland,1313,13158,84.97
73,daftmill,Daftmill,Scotland,51,2760,88.24
74,daftmill,Daftmill,Scotland,51,2760,88.24
75,daftmill,Daftmill Distillery,Scotland,4,271,88.4
76,daftmill,Daftmill Distillery,Scotland,4,271,88.4
77,daill,Daill,Scotland,0,0,0.0
78,dailuaine,Dailuaine,Scotland,1145,13935,85.31
79,dalaruan,Dalaruan Distillery,Scotland,6,10,78.34
80,dalintober,Dalintober Distillery,Scotland,0,0,0.0
81,dallas_dhu,Dallas Dhu,Scotland,359,2829,87.88
82,dalmore,Dalmore,Scotland,929,16241,85.58
83,dalmunach,Dalmunach,Scotland,66,473,84.88
84,dalwhinnie,Dalwhinnie,Scotland,206,7181,83.6
85,deanston,Deanston,Scotland,567,16397,85.35
86,dornoch,Dornoch,Scotland,1,0,0.0
87,dornoch,Dornoch,Scotland,1,0,0.0
88,dornoch,Dornoch Distillery,Scotland,26,235,84.91
89,dornoch,Dornoch Distillery,Scotland,26,235,84.91
90,drumore,Drumore Distillery,Scotland,0,0,0.0
91,dufftown,Dufftown,Scotland,505,6310,84.25
92,dumbarton,Dumbarton,Scotland,120,940,86.24
93,dundashill,Dundashill,Scotland,1,0,0.0
94,eden_mill,Eden Mill,Scotland,45,322,83.19
95,edradour,Edradour,Scotland,1702,25109,84.85
96,eigashima_shuzo,Eigashima Shuzo,Japan,151,1176,83.03
97,falkirk__company,Falkirk Distillery Company,Scotland,1,1,82.0
98,fettercairn,Fettercairn,Scotland,696,8003,84.46
99,fuji_gotemba,Fuji Gotemba,Japan,105,499,84.35
100,fukano,Fukano Distillery,Japan,13,7,81.93
101,garnheath,Garnheath,Scotland,38,378,87.23
102,gartbreck,Gartbreck Distillery,Scotland,0,0,0.0
103,girvan,Girvan,Scotland,312,2705,84.42
104,glen_albyn,Glen Albyn,Scotland,197,1676,87.74
105,glenallachie,Glenallachie,Scotland,1185,27236,85.86
106,glenburgie,Glenburgie,Scotland,910,11905,86.2
107,glencadam,Glencadam,Scotland,510,7556,85.88
108,glendronach,Glendronach,Scotland,1683,73902,88.04
109,glendullan,Glendullan,Scotland,344,4406,84.11
110,glen_elgin,Glen Elgin,Scotland,789,12195,86.14
111,glenesk,Glenesk,Scotland,103,1429,87.01
112,glenfarclas,Glenfarclas,Scotland,2546,56875,87.8
113,glenfiddich,Glenfiddich,Scotland,1433,29246,84.82
114,glen_flagler,Glen Flagler,Scotland,43,394,83.79
115,glenfoyle,Glenfoyle,Scotland,1,0,0.0
116,glenfyne_(glendarroch_glenglip),Glenfyne (Glendarroch Glenglip),Scotland,1,8,91.33
117,glen_garioch,Glen Garioch,Scotland,961,17643,85.91
118,glenglassaugh,Glenglassaugh,Scotland,640,15920,87.23
119,glengoyne,Glengoyne,Scotland,1122,26112,86.11
120,glen_grant,Glen Grant,Scotland,1972,24003,87.1
121,kilkerran,Glengyle (Kilkerran),Scotland,166,9473,85.71
122,glen_keith,Glen Keith,Scotland,646,11656,86.9
123,glenkinchie,Glenkinchie,Scotland,203,4924,83.42
124,glenlivet,Glenlivet,Scotland,2489,32678,86.18
125,glenlochy,Glenlochy,Scotland,119,1771,89.91
126,glenlossie,Glenlossie,Scotland,748,8838,86.19
127,glen_mhor,Glen Mhor,Scotland,248,2480,87.19
128,glenmorangie,Glenmorangie,Scotland,1024,32148,85.0
129,glen_moray,Glen Moray,Scotland,1633,18624,85.47
130,glen_nevis,Glen Nevis Distillery,Scotland,0,0,0.0
131,glen_ord,Glen Ord,Scotland,555,7596,85.37
132,glenramskill,Glenramskill Distillery,Scotland,0,0,0.0
133,glenrothes,Glenrothes,Scotland,2032,28355,86.28
134,glen_scotia,Glen Scotia,Scotland,1116,20238,85.58
135,glenside,Glenside Distillery,Scotland,0,0,0.0
136,glen_spey,Glen Spey,Scotland,402,3743,84.34
137,glentauchers,Glentauchers,Scotland,1046,11425,85.89
138,glenturret,Glenturret,Scotland,772,9274,85.65
139,glenugie,Glenugie,Scotland,134,1561,89.23
140,glenury_royal,Glenury Royal,Scotland,122,2569,88.98
141,glenwyvis,GlenWyvis Distillery,Scotland,6,106,83.97
142,gyokusendo_shuzo,Gyokusendo Shuzo,Japan,2,1,78.0
143,hakushu,Hakushu,Japan,221,3307,87.46
144,hanyu,Hanyu,Japan,205,3527,87.91
145,hazelburn,Hazelburn Distillery,Scotland,1,1,89.0
146,helios,Helios Distillery,Japan,10,93,79.05
147,highland,Highland Distillery,Scotland,0,0,0.0
148,highland_park,Highland Park,Scotland,3170,59134,87.25
149,holy,Holy Distillery,Taiwan,11,5,73.89
150,holyrood,Holyrood Distillery,Scotland,20,36,79.67
151,imperial,Imperial,Scotland,659,7950,86.95
152,inchdairnie,InchDairnie,Scotland,8,121,85.1
153,inchgower,Inchgower,Scotland,696,9374,85.53
154,invergordon,Invergordon,Scotland,682,7969,86.76
155,inverleven,Inverleven,Scotland,138,885,86.31
156,isle_of_harris_distillers_ltd.,Isle of Harris Distillers Ltd.,Scotland,0,0,0.0
157,isle_of_jura,Isle of Jura,Scotland,917,16127,84.03
158,kagoshima,Kagoshima,Japan,6,101,87.1
159,kaikyo,Kaikyo,Japan,4,33,80.69
160,kaikyo,Kaikyo,Japan,4,33,80.69
161,kaikyo,Kaikyo Distillery,Japan,5,115,79.3
162,kaikyo,Kaikyo Distillery,Japan,5,115,79.3
163,kanosuke,Kanosuke,Japan,3,3,84.0
164,kanosuke,Kanosuke,Japan,3,3,84.0
165,kanosuke,Kanosuke Distillery,Japan,38,186,84.36
166,kanosuke,Kanosuke Distillery,Japan,38,186,84.36
167,karuizawa,Karuizawa,Japan,729,9643,88.38
168,kavalan,Kavalan,Taiwan,3259,15850,87.23
169,kawasaki,Kawasaki,Japan,31,415,90.02
170,kilchoman,Kilchoman,Scotland,1337,28498,86.04
171,killyloch,Killyloch,Scotland,4,59,88.18
172,kimbland,Kimbland,Scotland,0,0,0.0
173,kinclaith,Kinclaith,Scotland,43,276,87.22
