,name,slug,country,whiskybase_whiskies,whiskybase_votes,whiskybase_rating
0,8 Doors Distillery,8_doors,Scotland,2,4,86.67
1,Abbeyhill Distillery,abbeyhill,Scotland,0,0,0.0
2,Aberargie Distillery,aberargie,Scotland,1,0,0.0
3,Aberfeldy,aberfeldy,Scotland,489,8155,84.05
4,Aberlour,aberlour,Scotland,1274,28192,85.02
5,Abhainn Dearg,abhainn_dearg,Scotland,40,423,69.96
6,Ailsa Bay,ailsa_bay,Scotland,28,1287,81.72
7,Aioi Unibio Co. Ltd.,aioi_unibio_co._ltd.,Japan,5,42,75.66
8,Akkeshi Distillery,akkeshi,Japan,24,253,85.64
9,Albyn Distillery,albyn,Scotland,0,0,0.0
10,Allt-a-Bhainne,allt-a-bhainne,Scotland,464,3985,84.59
11,Annandale Distillery,annandale,Scotland,117,1115,84.81
12,Arbikie,arbikie,Scotland,9,35,81.66
13,Ardbeg,ardbeg,Scotland,2430,96509,88.05
14,Ardenistile,ardenistile,Scotland,0,0,0.0
15,Ardgowan Distillery,ardgowan,Scotland,1,1,81.0
16,Ardlussa Distillery,ardlussa,Scotland,0,0,0.0
17,Ardmore,ardmore,Scotland,1707,18486,85.36
18,Ardnahoe Distillery,ardnahoe,Scotland,0,0,0.0
19,Ardnamurchan,ardnamurchan,Scotland,120,3755,85.57
20,Argyll Distillery,argyll,Scotland,0,0,0.0
21,Arran,arran,Scotland,2277,42627,85.4
22,Asaka,asaka,Japan,18,21,85.78
23,Auchentoshan,auchentoshan,Scotland,1270,16535,84.05
24,Auchnagie,auchnagie,Scotland,2,11,84.44
25,Auchroisk,auchroisk,Scotland,733,6276,84.72
26,Aultmore,aultmore,Scotland,940,8671,85.19
27,Badachro Distillery,badachro,Scotland,1,1,76.0
28,Balblair,balblair,Scotland,664,11464,86.07
29,Ballindalloch,ballindalloch,Scotland,0,24,90.77
30,Balmenach,balmenach,Scotland,633,4795,85.18
31,Balvenie,balvenie,Scotland,3548,29326,86.42
32,Banff,banff,Scotland,173,3071,88.32
33,Benachie Distillery,benachie,Scotland,2,0,0.0
34,Benmore Distillery,benmore,Scotland,0,0,0.0
35,Ben Nevis,ben_nevis,Scotland,1752,38671,86.64
36,BenRiach,benriach,Scotland,1862,41353,86.01
37,Benrinnes,benrinnes,Scotland,1418,16850,85.58
38,Benromach,benromach,Scotland,559,15639,85.87
39,Ben Wyvis,ben_wyvis,Scotland,18,280,89.37
40,Ben Wyvis / Ferintosh,ben_wyvis_/_ferintosh,Scotland,2,2,92.0
41,Bladnoch,bladnoch,Scotland,954,9482,85.42
42,Blair Athol,blair_athol,Scotland,1134,14401,85.57
43,Bowmore,bowmore,Scotland,3679,83089,87.08
44,Braeval,braeval,Scotland,531,3950,85.29
45,Broombrae Distillery,broombrae,Scotland,0,0,0.0
46,Brora,brora,Scotland,278,10393,89.85
47,Bruichladdich,bruichladdich,Scotland,3871,101651,86.84
48,Bunnahabhain,bunnahabhain,Scotland,3675,71628,86.44
49,Burnside Distillery,burnside,Scotland,0,0,0.0
50,Caledonian,caledonian,Scotland,105,1032,87.35
51,Caledonian Distillery,caledonian,Scotland,0,0,0.0
52,Cambus,cambus,Scotland,290,2728,86.47
53,Cameronbridge,cameronbridge,Scotland,368,3662,85.57
54,Campbeltown Distillery,campbeltown,Scotland,0,0,0.0
55,Caol Ila,caol_ila,Scotland,5834,77988,86.82
56,Caperdonich,caperdonich,Scotland,597,9268,87.93
57,Cardhu,cardhu,Scotland,209,6014,82.42
58,Carsebridge,carsebridge,Scotland,115,1204,87.83
59,Chain Pier,chain_pier,Scotland,2,9,85.84
60,Chichibu,chichibu,Japan,535,7059,88.62
61,Chita,chita,Japan,43,881,84.84
62,Chugoku Jozo,chugoku_jozo,Japan,18,512,80.52
63,Clutha Distillery,clutha,Scotland,0,0,0.0
64,Clynelish,clynelish,Scotland,2303,46126,86.98
65,Coleburn,coleburn,Scotland,105,1265,87.06
66,Convalmore,convalmore,Scotland,150,2282,87.06
67,Corry (Broadford),corry_(broadford),Scotland,0,0,0.0
68,Crafty Distillery,crafty,Scotland,0,0,0.0
69,Cragganmore,cragganmore,Scotland,748,9471,85.26
70,Craigellachie,craigellachie,Scotland,1313,13158,84.97
71,Daftmill,daftmill,Scotland,51,2760,88.24
